id,date_accident,accident_type,district,longitude,latitude,road_condition,weather_condition,road_part,number_of_participants,vehicle_brand_uz,vehicle_model_uz,vehicle_color_uz,year_manufacture
148958,2023-06-02,piyodani urib yuborish,Uchqo'rg'on tumani,72.1017,40.9908,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 2,oq,2013.0
148956,2023-05-24,to'siqqa urilish,To'raqo'rg'on tumani,71.4809,40.9982,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2020.0
148954,2023-05-15,piyodani urib yuborish,Namangan tumani,71.5661,40.9415,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2106,kulrang,2000.0
148953,2023-06-02,piyodani urib yuborish,Namangan shahri,71.5801,40.9969,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Nexia,oq,2014.0
148951,2023-05-14,piyodani urib yuborish,To'raqo'rg'on tumani,71.5129,41.028,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2020.0
148950,2023-05-12,ag'darilish,Norin tumani,72.0527,40.9222,quruq,kun ochiq,yo'lning burilish qismi,3,Daewoo,Damas,oq,2011.0
148948,2023-05-04,piyodani urib yuborish,Namangan tumani,71.5669,40.9353,quruq,kun ochiq,yo'lning tog'ri qismi,2,AZLK,412,oq,1976.0
148946,2023-05-14,piyodani urib yuborish,Namangan tumani,71.5925,40.9422,quruq,kun ochiq,yo'lning tog'ri qismi,2,AZLK,412,oq,1991.0
148945,2023-05-22,YTHning boshqa turlari,Namangan shahri,71.6258,40.9993,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2015.0
148944,2023-05-21,to'siqqa urilish,Namangan shahri,71.7321,41.0397,quruq,kun ochiq,yo'lning tog'ri qismi,1,ZIL,130,ko'k,1983.0
148943,2023-05-11,piyodani urib yuborish,Uychi tumani,71.8225,41.0269,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2012.0
148941,2023-04-27,to'qnashuv,Kosonsoy tumani,71.5484,41.242,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Spark,oq,2017.0
148940,2023-05-12,piyodani urib yuborish,Mingbuloq tumani,71.6818,40.902,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,sariq,2008.0
148939,2023-05-20,velosipedchini urib yuborish,Mingbuloq tumani,71.7118,40.8568,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2106,to'q sariq,1984.0
148938,2023-05-12,piyodani urib yuborish,Namangan shahri,71.7253,40.9702,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Captiva,kulrang,2015.0
148937,2023-05-19,to'qnashuv,Chust tumani,71.2824,40.9839,quruq,kun ochiq,yo'lning tog'ri qismi,4,Daewoo,Lacetti,nam asfalt,2012.0
148936,2023-05-08,piyodani urib yuborish,To'raqo'rg'on tumani,71.5469,41.039,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2013.0
148935,2023-05-31,to'qnashuv,Parkent tumani,69.7337,41.2472,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Damas,oq,2019.0
148934,2023-05-08,to'qnashuv,To'raqo'rg'on tumani,71.3928,40.9617,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2101,oq,1975.0
148933,2023-06-08,to'siqqa urilish,Kosonsoy tumani,71.5286,41.2293,quruq,kun ochiq,yo'lning tog'ri qismi,3,GAZ,2401,ko'k,1985.0
148932,2023-05-12,piyodani urib yuborish,Mingbuloq tumani,71.682,40.904,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Labo,ko'k,2004.0
148931,2023-05-18,piyodani urib yuborish,Uychi tumani,71.7743,41.018,quruq,kun ochiq,yo'lning tog'ri qismi,2,AZLK,412,sariq,1986.0
148928,2023-04-23,to'qnashuv,Pop tumani,70.4549,41.1398,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Damas,oq,2012.0
148927,2023-06-04,piyodani urib yuborish,Parkent tumani,69.6736,41.2949,quruq,kun ochiq,piyodalar o'tish joyi,1,Chevrolet,Nexia 3,oq,2018.0
148926,2023-05-08,to'qnashuv,Kosonsoy tumani,71.5152,41.1839,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2022.0
148925,2023-02-08,piyodani urib yuborish,Kosonsoy tumani,71.5822,41.26,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,kulrang,2006.0
148924,2023-05-04,turgan TVga urilish,Namangan shahri,71.6063,40.995,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Spark,oq,2011.0
148923,2023-05-06,ag'darilish,Yangiqo'rg'on tumani,71.6823,41.2902,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2014.0
148922,2023-05-07,to'qnashuv,Namangan tumani,71.5572,40.95,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Damas,oq,2020.0
148921,2023-05-10,to'siqqa urilish,Kosonsoy tumani,71.6456,41.2147,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 3,oq,2018.0
148920,2023-05-08,piyodani urib yuborish,Chortoq tumani,71.837,41.0663,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Tracker,qora,2021.0
148917,2023-05-04,piyodani urib yuborish,Uychi tumani,71.8262,41.0179,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2022.0
148916,2023-05-07,to'siqqa urilish,Namangan shahri,71.6758,40.9868,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2101,delfin,1977.0
148915,2023-06-08,to'qnashuv,Jizzax shahri,67.7095,40.0783,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Nexia,oq,2018.0
